name,coordinates,postcode,Latitude,Longitude
Kirkcudbright Development Trust,"(54.83824621, -4.04629559)",DG6 4EG,54.83824621,-4.04629559
Kirknewton Community Development Trust Ltd,"(55.95614012, -3.18980287)",EH1 3HP,55.95614012,-3.18980287
Kyle and Lochalsh Community Trust,"(56.702486, -3.732860)",PH16 5BU,56.702486,-3.73286
Kyle of Sutherland Development Trust,"(57.88143244, -4.36398163)",IV24 3AL,57.88143244,-4.36398163
Ladybank Development Trust,"(56.27912953, -3.1336278)",KY15 7NX,56.27912953,-3.1336278
Lairg & District Community Initiatives,"(58.02355863, -4.39720036)",IV27 4DD,58.02355863,-4.39720036
Lambhill Stables Ltd,"(55.89720128, -4.26561177)",G22 6RD,55.89720128,-4.26561177
Lanark Community Development Trust,"(55.67171658, -3.78575365)",ML11 9EG,55.67171658,-3.78575365
Largo Communities Together,"(56.21287328, -2.95033377)",KY8 6BH,56.21287328,-2.95033377
"Latheron, Lybster & Clyth Community Development Company","(58.29953595, -3.28647278)",KW3 6AH,58.29953595,-3.28647278
Lenzie Community Development Trust,"(55.91464301, -4.1561793)",G66 5AT,55.91464301,-4.1561793
Lesmahagow Development Trust,"(55.63881613, -3.88659428)",ML11 0EQ,55.63881613,-3.88659428
Leverhulme Community Hub,"(57.7713924, -7.01472366)",HS5 3TS,57.7713924,-7.01472366
Linlithgow Community Development Trust,"(55.97559178, -3.61138046)",EH49 7AY,55.97559178,-3.61138046
Linwood Community Development Trust,"(55.85253845, -4.49256353)",PA3 3RX,55.85253845,-4.49256353
Lismore Community Trust,"(56.53227898, -5.47239492)",PA34 5UL,56.53227898,-5.47239492
Local Initiatives in New Galloway,"(55.0730096, -4.14080057)",DG7 3RL,55.0730096,-4.14080057
Lochcarron Community Development Company,"(57.41488052, -5.47327872)",IV54 8YS,57.41488052,-5.47327872
Lochwinnoch Community Development Trust,"(55.79733267, -4.63353061)",PA12 4DG,55.79733267,-4.63353061
Lossiemouth Community Development Trust,"(57.7209387, -3.28375127)",IV31 6AE,57.7209387,-3.28375127
Luss & Arden Community Development Trust,"(56.14630604, -4.66768348)",G83 8PD,56.14630604,-4.66768348
Machrihanish Airbase Community Company,"(55.44324498, -5.69517784)",PA28 6NU,55.44324498,-5.69517784
Maryhill Burgh Halls Trust,"(55.89078723, -4.29117858)",G20 8YE,55.89078723,-4.29117858
Mayfield & Easthouses Development Trust,"(55.8746089, -3.04282272)",EH22 5DG,55.8746089,-3.04282272
Meigle and Ardler Community Development Trust,"(56.58976819, -3.16465158)",PH12 8QN,56.58976819,-3.16465158
Milngavie Community Development Trust,"(55.93791333, -4.33162286)",G62 7QA,55.93791333,-4.33162286
Minginish Community Hall Association,"(57.31807517, -6.37594526)",IV47 8SJ,57.31807517,-6.37594526
Moffat Town Hall Re-development Trust,"(55.3331658, -3.44477943)",DG10 9HF,55.3331658,-3.44477943
Moniaive Initiative,"(55.19878918, -3.92350393)",DG3 4HR,55.19878918,-3.92350393
Morar Community Trust,"(56.9720403, -5.82322966)",PH40 4PA,56.9720403,-5.82322966
Morvern Community Development Company,"(56.99752757, -7.4971108)",PA80 5XT,56.99752757,-7.4971108
Mount Blair Community Development Trust,"(56.79840604, -3.43048194)",PH10 7QD,56.79840604,-3.43048194
Muir of Ord Development Trust,"(57.50472494, -4.49092218)",IV6 7TN,57.50472494,-4.49092218
Mull & Iona Community Trust,"(56.32468277, -6.36329467)",PA66 6BL,56.32468277,-6.36329467
Muthill Village Trust,"(56.33349096, -3.82915113)",PH5 2AS,56.33349096,-3.82915113
Nairn Improvement Community Enterprise,"(57.57683447, -3.91359001)",IV12 5NT,57.57683447,-3.91359001
Neilston Development Trust,"(55.78400346, -4.42888109)",G78 3EA,55.78400346,-4.42888109
Neilston Windfarm Legacy SCIO ,"(55.78400346, -4.42888109)",G78 3EA,55.78400346,-4.42888109
New Cumnock Development Trust,"(55.39619666, -4.18467691)",KA18 4AN,55.39619666,-4.18467691
Newburgh Community Trust,"(56.3490311, -3.24689625)",KY14 6DP,56.3490311,-3.24689625
Newcastleton & District Community Trust,"(55.17858975, -2.81355223)",TD9 0QR,55.17858975,-2.81355223
Newlands Community Development Trust,"(55.71862775, -3.33776789)",EH46 7BZ,55.71862775,-3.33776789
Newmains Community Trust Ltd,"(55.78319317, -3.87878448)",ML2 9AX,55.78319317,-3.87878448
Newton Stewart Initiative,"(54.95756019, -4.48573204)",DG8 6ER,54.95756019,-4.48573204
North Uist Development Company Limited,"(57.56532932, -7.38454205)",HS6 5EP,57.56532932,-7.38454205
North West Mull Community Woodland Company Ltd,"(56.59990937, -6.27890523)",PA75 6QY,56.59990937,-6.27890523
North Yell Development Council,"(60.71344073, -1.02324379)",ZE2 9DD,60.71344073,-1.02324379
