Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
"St Mungo Parish Church of Scotland, Lockerbie",SC001060,DG12 5QA,54.99092007,-3.35395942,Dumfries & Galloway
Loaningdale School Company,SC001065,ML11 7NE,55.67543644,-3.78147026,City of Edinburgh
Cupar YMCA-YWCA,SC001072,KY15 4LG,56.31937288,-3.01667994,Fife
Rousay Church Of Scotland,SC001078,KW17 2PU,59.13180628,-2.98737075,Orkney Islands
Inverkip Church of Scotland,SC001079,PA16 0FR,55.90533785,-4.87102801,Inverclyde
Hurlford Church of Scotland,SC001084,KA3 1TS,55.62683287,-4.48875783,East Ayrshire
Lundie and Muirhead Parish Church of Scotland,SC001085,DD2 5QT,56.50064988,-3.06977466,Angus
Friends Of Crieff Hospital,SC001090,PH7 3HR,56.37045686,-3.84264511,Perth & Kinross
"Innerleithen, Traquair & Walkerburn Parish Church Of Scotland",SC001100,EH44 6RH,55.61694069,-3.06135901,Scottish Borders
Marnoch Church of Scotland,SC001107,AB54 7PS,57.58193748,-2.63663593,Aberdeenshire
Boarhills And Dunino Parish Church Of Scotland,SC001108,KY16 8PP,56.31742981,-2.70404136,Fife
Langside & Shawlands United Free Church,SC001110,G41 3SQ,55.83024011,-4.29203896,Glasgow City
Ability Shetland Ltd,SC001111,ZE1 0JP,60.15644517,-1.14731839,Shetland Islands
Lybster Day Care Association,SC001114,KW3 6AF,58.3016386,-3.28639554,Highland
Jean Drummond Centre,SC001115,DD2 3DT,56.47493968,-3.01476431,Dundee City
Urquhart Parish Hall Committee,SC001131,IV30 8LG,57.64819065,-3.19790855,Moray
Cunninghame Choir,SC001136,KA15 1HA,55.74634235,-4.6288494,North Ayrshire
Murray Library,SC001142,KY10 3AR,56.22421667,-2.68781601,Fife
212th Glasgow Boys Brigade Company,SC001145,G64 3AG,55.91120237,-4.22975347,East Dunbartonshire
Zetland Educational Trust Schemes 1961 to 1965,SC001146,ZE1 0LZ,60.15892506,-1.14617327,Shetland Islands
Ythan Biodiversity Volunteers,SC001149,AB41 8AL,57.37105514,-2.06056015,Aberdeenshire
Perth & Kinross Society For The Blind,SC001152,PH1 5QA,56.39576472,-3.43598381,Perth & Kinross
East Cults Playgroup,SC001160,AB15 9EX,57.11508521,-2.18944548,Aberdeen
Gavinton Village Hall (Community Fund),SC001162,TD11 3QS,55.76208169,-2.36925527,Scottish Borders
Relationships Scotland - Counselling Highland Limited,SC001163,IV2 4SA,57.4747289,-4.22532115,Highland
Wishaw United Reformed Church,SC001165,ML2 8TF,55.79401024,-3.90814648,Glasgow City
Dingwall Castle Street Church Of Scotland,SC001167,IV15 9JY,57.59598115,-4.42754077,Highland
